Time,Datetime,Frequency,Magnitude
333,2020-05-05 06:52:38,11.0,1.204
334,2020-05-05 06:52:40,12.2,0.797
335,2020-05-05 06:52:46,15.714,0.945
336,2020-05-05 06:52:48,10.0,1.026
337,2020-05-05 06:52:50,12.2,0.76
338,2020-05-05 06:52:56,1.0,0.589
339,2020-05-05 06:53:18,14.667,0.885
340,2020-05-05 06:53:20,9.5,0.656
341,2020-05-05 06:53:22,5.429,0.69
342,2020-05-05 06:53:24,12.389,0.745
343,2020-05-05 06:53:30,16.143,0.84
344,2020-05-05 06:53:32,10.75,0.768
345,2020-05-05 06:53:34,14.0,0.637
346,2020-05-05 06:53:36,1.0,0.585
347,2020-05-05 06:53:54,5.25,0.617
348,2020-05-05 06:54:06,6.333,0.654
349,2020-05-05 06:54:14,13.267,0.739
350,2020-05-05 06:54:16,13.0,0.784
351,2020-05-05 06:54:20,12.75,0.931
352,2020-05-05 06:54:24,14.5,0.818
353,2020-05-05 06:54:26,9.0,0.724
354,2020-05-05 06:54:30,7.5,0.799
355,2020-05-05 06:54:50,13.5,0.832
356,2020-05-05 06:54:52,10.333,0.793
357,2020-05-05 06:54:56,14.333,0.847
358,2020-05-05 06:55:00,14.286,0.713
359,2020-05-05 06:55:02,12.833,0.78
360,2020-05-05 06:55:04,11.0,1.002
361,2020-05-05 06:55:06,11.75,0.757
362,2020-05-05 06:56:12,1.0,0.552
363,2020-05-05 06:56:18,3.833,0.686
364,2020-05-05 06:56:20,8.8,0.673
365,2020-05-05 06:56:34,3.333,0.76
366,2020-05-05 06:56:48,4.0,0.525
367,2020-05-05 06:56:52,3.0,0.534
368,2020-05-05 06:57:08,21.0,1.56
369,2020-05-05 06:57:10,11.0,0.816
370,2020-05-05 06:57:12,9.0,0.563
371,2020-05-05 06:57:14,12.75,1.024
372,2020-05-05 06:57:16,6.2,0.702
373,2020-05-05 06:57:18,15.143,1.006
374,2020-05-05 06:57:20,10.0,0.968
375,2020-05-05 06:57:22,12.9,0.672
376,2020-05-05 06:57:58,2.0,1.383
377,2020-05-05 06:58:00,14.091,0.807
378,2020-05-05 06:58:02,12.6,0.696
379,2020-05-05 06:58:04,14.0,0.732
