Time,Datetime,Frequency,Magnitude
592,2020-05-05 07:48:56,4.0,0.535
593,2020-05-05 07:49:02,15.0,1.876
594,2020-05-05 07:49:04,14.857,0.964
595,2020-05-05 07:49:10,17.0,0.652
596,2020-05-05 07:52:36,15.857,1.247
597,2020-05-05 07:52:38,16.0,0.753
598,2020-05-05 07:52:40,16.5,0.624
599,2020-05-05 07:52:48,21.0,0.59
600,2020-05-05 07:53:00,13.5,0.963
601,2020-05-05 07:53:02,14.25,0.726
602,2020-05-05 07:53:04,13.0,0.783
603,2020-05-05 07:53:06,17.857,0.794
604,2020-05-05 07:53:08,17.333,0.561
